SURFACESEGMENT

-258,-258,6;-241,-258,-1 -241,-258,-1;-241,-241,7 -241,-241,7;-258,-258,6 
-258,-258,6;-258,-241,-1 -258,-241,-1;-241,-241,7 -241,-241,7;-258,-258,6 
-258,-241,-1;-241,-241,7 -241,-241,7;-241,-224,-1 -241,-224,-1;-258,-241,-1 
-258,-241,-1;-258,-224,6 -258,-224,6;-241,-224,-1 -241,-224,-1;-258,-241,-1 
-258,-224,6;-241,-224,-1 -241,-224,-1;-241,-208,5 -241,-208,5;-258,-224,6 
-258,-224,6;-258,-208,0 -258,-208,0;-241,-208,5 -241,-208,5;-258,-224,6 
-258,-208,0;-241,-208,5 -241,-208,5;-241,-191,3 -241,-191,3;-258,-208,0 
-258,-208,0;-258,-191,1 -258,-191,1;-241,-191,3 -241,-191,3;-258,-208,0 
-258,-191,1;-241,-191,3 -241,-191,3;-241,-174,-3 -241,-174,-3;-258,-191,1 
-258,-191,1;-258,-174,8 -258,-174,8;-241,-174,-3 -241,-174,-3;-258,-191,1 
-258,-174,8;-241,-174,-3 -241,-174,-3;-241,-158,10 -241,-158,10;-258,-174,8 
-258,-174,8;-258,-158,-3 -258,-158,-3;-241,-158,10 -241,-158,10;-258,-174,8 
-258,-158,-3;-241,-158,10 -241,-158,10;-241,-141,3 -241,-141,3;-258,-158,-3 
-258,-158,-3;-258,-141,1 -258,-141,1;-241,-141,3 -241,-141,3;-258,-158,-3 
-258,-141,1;-241,-141,3 -241,-141,3;-241,-124,-6 -241,-124,-6;-258,-141,1 
-258,-141,1;-258,-124,10 -258,-124,10;-241,-124,-6 -241,-124,-6;-258,-141,1 
-258,-124,10;-241,-124,-6 -241,-124,-6;-241,-108,2 -241,-108,2;-258,-124,10 
-258,-124,10;-258,-108,4 -258,-108,4;-241,-108,2 -241,-108,2;-258,-124,10 
-258,-108,4;-241,-108,2 -241,-108,2;-241,-91,11 -241,-91,11;-258,-108,4 
-258,-108,4;-258,-91,-4 -258,-91,-4;-241,-91,11 -241,-91,11;-258,-108,4 
-258,-91,-4;-241,-91,11 -241,-91,11;-241,-74,11 -241,-74,11;-258,-91,-4 
-258,-91,-4;-258,-74,-5 -258,-74,-5;-241,-74,11 -241,-74,11;-258,-91,-4 
-258,-74,-5;-241,-74,11 -241,-74,11;-241,-58,5 -241,-58,5;-258,-74,-5 
-258,-74,-5;-258,-58,0 -258,-58,0;-241,-58,5 -241,-58,5;-258,-74,-5 
-258,-58,0;-241,-58,5 -241,-58,5;-241,-41,0 -241,-41,0;-258,-58,0 
-258,-58,0;-258,-41,5 -258,-41,5;-241,-41,0 -241,-41,0;-258,-58,0 
-258,-41,5;-241,-41,0 -241,-41,0;-241,-24,-4 -241,-24,-4;-258,-41,5 
-258,-41,5;-258,-24,8 -258,-24,8;-241,-24,-4 -241,-24,-4;-258,-41,5 
-258,-24,8;-241,-24,-4 -241,-24,-4;-241,-8,-5 -241,-8,-5;-258,-24,8 
-258,-24,8;-258,-8,8 -258,-8,8;-241,-8,-5 -241,-8,-5;-258,-24,8 
-258,-8,8;-241,-8,-5 -241,-8,-5;-241,8,-4 -241,8,-4;-258,-8,8 
-258,-8,8;-258,8,8 -258,8,8;-241,8,-4 -241,8,-4;-258,-8,8 
-258,8,8;-241,8,-4 -241,8,-4;-241,25,0 -241,25,0;-258,8,8 
-258,8,8;-258,25,5 -258,25,5;-241,25,0 -241,25,0;-258,8,8 
-258,25,5;-241,25,0 -241,25,0;-241,41,5 -241,41,5;-258,25,5 
-258,25,5;-258,41,0 -258,41,0;-241,41,5 -241,41,5;-258,25,5 
-258,41,0;-241,41,5 -241,41,5;-241,58,11 -241,58,11;-258,41,0 
-258,41,0;-258,58,-5 -258,58,-5;-241,58,11 -241,58,11;-258,41,0 
-258,58,-5;-241,58,11 -241,58,11;-241,75,11 -241,75,11;-258,58,-5 
-258,58,-5;-258,75,-4 -258,75,-4;-241,75,11 -241,75,11;-258,58,-5 
-258,75,-4;-241,75,11 -241,75,11;-241,91,2 -241,91,2;-258,75,-4 
-258,75,-4;-258,91,4 -258,91,4;-241,91,2 -241,91,2;-258,75,-4 
-258,91,4;-241,91,2 -241,91,2;-241,108,-6 -241,108,-6;-258,91,4 
-258,91,4;-258,108,10 -258,108,10;-241,108,-6 -241,108,-6;-258,91,4 
-258,108,10;-241,108,-6 -241,108,-6;-241,125,3 -241,125,3;-258,108,10 
-258,108,10;-258,125,1 -258,125,1;-241,125,3 -241,125,3;-258,108,10 
-258,125,1;-241,125,3 -241,125,3;-241,141,10 -241,141,10;-258,125,1 
-258,125,1;-258,141,-3 -258,141,-3;-241,141,10 -241,141,10;-258,125,1 
-258,141,-3;-241,141,10 -241,141,10;-241,158,-3 -241,158,-3;-258,141,-3 
-258,141,-3;-258,158,8 -258,158,8;-241,158,-3 -241,158,-3;-258,141,-3 
-258,158,8;-241,158,-3 -241,158,-3;-241,175,3 -241,175,3;-258,158,8 
-258,158,8;-258,175,1 -258,175,1;-241,175,3 -241,175,3;-258,158,8 
-258,175,1;-241,175,3 -241,175,3;-241,191,5 -241,191,5;-258,175,1 
-258,175,1;-258,191,0 -258,191,0;-241,191,5 -241,191,5;-258,175,1 
-258,191,0;-241,191,5 -241,191,5;-241,208,-1 -241,208,-1;-258,191,0 
-258,191,0;-258,208,6 -258,208,6;-241,208,-1 -241,208,-1;-258,191,0 
-258,208,6;-241,208,-1 -241,208,-1;-241,225,7 -241,225,7;-258,208,6 
-258,208,6;-258,225,-1 -258,225,-1;-241,225,7 -241,225,7;-258,208,6 
-258,225,-1;-241,225,7 -241,225,7;-241,241,-1 -241,241,-1;-258,225,-1 
-258,225,-1;-258,241,6 -258,241,6;-241,241,-1 -241,241,-1;-258,225,-1 
-258,241,6;-241,241,-1 -241,241,-1;-241,258,5 -241,258,5;-258,241,6 
-258,241,6;-258,258,0 -258,258,0;-241,258,5 -241,258,5;-258,241,6 
-241,-258,-1;-224,-258,6 -224,-258,6;-224,-241,-1 -224,-241,-1;-241,-258,-1 
-241,-258,-1;-241,-241,7 -241,-241,7;-224,-241,-1 -224,-241,-1;-241,-258,-1 
-241,-241,7;-224,-241,-1 -224,-241,-1;-224,-224,6 -224,-224,6;-241,-241,7 
-241,-241,7;-241,-224,-1 -241,-224,-1;-224,-224,6 -224,-224,6;-241,-241,7 
-241,-224,-1;-224,-224,6 -224,-224,6;-224,-208,0 -224,-208,0;-241,-224,-1 
-241,-224,-1;-241,-208,5 -241,-208,5;-224,-208,0 -224,-208,0;-241,-224,-1 
-241,-208,5;-224,-208,0 -224,-208,0;-224,-191,0 -224,-191,0;-241,-208,5 
-241,-208,5;-241,-191,3 -241,-191,3;-224,-191,0 -224,-191,0;-241,-208,5 
-241,-191,3;-224,-191,0 -224,-191,0;-224,-174,9 -224,-174,9;-241,-191,3 
-241,-191,3;-241,-174,-3 -241,-174,-3;-224,-174,9 -224,-174,9;-241,-191,3 
-241,-174,-3;-224,-174,9 -224,-174,9;-224,-158,-4 -224,-158,-4;-241,-174,-3 
-241,-174,-3;-241,-158,10 -241,-158,10;-224,-158,-4 -224,-158,-4;-241,-174,-3 
-241,-158,10;-224,-158,-4 -224,-158,-4;-224,-141,1 -224,-141,1;-241,-158,10 
